Item,Color/Size,Brand,Quantity
Canvas,Yellow,BrandA,5
Canvas,Red,BrandB,3
Canvas,Blue,BrandC,4
Canvas,Green,BrandD,2
Canvas,Black,BrandE,6
Canvas,White,BrandF,7
Canvas,White,Amazon,10
Canvas,Orange,BrandG,1
Canvas,Purple,BrandH,2
Canvas,Pink,BrandI,3
Canvas,Brown,BrandJ,4
Glitter,Gold,BrandK,5
Glitter,Silver,BrandL,4
Glitter,Red,BrandM,3
Glitter,Blue,BrandN,2
Glitter,Green,BrandO,1
Glitter,Pink,BrandP,6
Glitter,Purple,BrandQ,2
Glitter,Black,BrandR,3
Glitter,White,BrandS,4
Glitter,Orange,BrandT,2
Paint,Red,BrandU,10
Paint,Blue,BrandV,8
Paint,Yellow,BrandW,6
Paint,Green,BrandX,5
Modeling Clay,Red,BrandBB,4
Modeling Clay,Blue,BrandCC,3
Modeling Clay,Yellow,BrandDD,6
Ink,Red,Amazon,10
